index,t_solve_list,t_ground_list,ground_file_bytes_list
-43,0s;0.006s;0.01s;0.014s;0.021s;0.025s;0.033s;0.035s;0.043s;0.048s;0.053s;0.057s;0.064s;0.073s;0.079s;0.085s;0.092s;0.1s;0.108s;0.119s;0.128s;0.137s;0.153s;0.166s;0.181s;0.192s;0.203s;0.221s;0.238s;0.264s;0.289s,0.019s;0.105s;0.153s;0.199s;0.251s;0.317s;0.355s;0.432s;0.464s;0.523s;0.583s;0.694s;0.73s;0.855s;0.888s;1.012s;1.115s;1.164s;1.264s;1.359s;1.461s;1.63s;1.746s;1.894s;2.038s;2.166s;2.286s;2.477s;2.693s;2.887s;3.1s,265194;3508826;5480189;7467369;9460420;11453013;13453105;15462103;17583162;19677616;21753364;23852036;26116837;28437976;30803454;33221512;35701367;38253093;40888053;43618639;46458437;49403824;52447572;55622927;59006446;62554635;66321894;70328856;74601922;79169446;84060029
-44,0.001s;1.427s;3.179s;5.441s;8.587s;1.999s;1.826s;2.691s;3.7s;4.289s;10.043s,0.019s;0.263s;0.449s;0.636s;0.823s;1.024s;1.202s;1.402s;1.655s;1.877s;2.128s,395659;12545309;20308395;28356057;36832746;45294311;53516384;61616372;69726794;77853364;86106883
-45,0.001s;0.004s;0.005s;0.219s;0.31s;0.446s;0.599s;0.768s;0.967s;1.258s,0.02s;0.081s;0.108s;0.142s;0.167s;0.195s;0.264s;0.274s;0.337s;0.376s,245034;2076404;3153150;4244889;5350446;6468490;7595630;8720611;9856133;11066963
-46,0.002s;0.002s;0.003s;0.005s;0.006s;0.006s;0.008s;0.01s;0.011s;0.013s;0.015s;0.016s;0.018s;0.02s;0.023s;0.026s;0.028s;0.03s;0.034s;0.036s;0.04s;0.044s;0.047s;0.054s;0.055s;0.061s;0.065s;0.069s;0.077s;0.083s;0.093s,0.014s;0.056s;0.072s;0.091s;0.111s;0.136s;0.157s;0.177s;0.2s;0.232s;0.255s;0.29s;0.324s;0.355s;0.385s;0.46s;0.469s;0.508s;0.563s;0.633s;0.663s;0.701s;0.786s;0.824s;0.874s;0.943s;1.003s;1.073s;1.154s;1.227s;1.356s,236902;1213815;1792556;2377000;2968114;3567913;4179083;4792874;5416999;6053478;6701803;7366379;8049852;8756200;9488608;10247030;11061923;11951270;12880248;13852921;14873719;15947226;17078146;18258382;19475617;20766871;22135680;23589177;25132645;26772854;28516289
-47,0s;0s;0.001s;0.012s,0.01s;0.021s;0.022s;0.022s,208379;242207;261308;280561
-48,0.001s;0.026s;0.049s;2.595s;5.107s;7.819s;-1,0.018s;0.286s;0.548s;0.808s;1.053s;1.304s;-1,354924;14580856;23738043;32909496;42357452;52172279;-1
-49,0.001s;0.046s;0.09s;0.132s;0.177s;0.219s;0.269s;0.308s;0.36s;0.408s;0.446s;0.49s;0.537s;0.581s;0.636s;0.699s;0.747s;0.791s;0.865s;0.905s;0.961s;1.013s;1.086s;1.137s;1.19s;1.264s;1.322s;1.408s;1.488s;1.574s;1.677s,0.044s;0.501s;0.877s;1.27s;1.648s;2.018s;2.405s;2.839s;3.288s;3.75s;4.37s;4.837s;5.354s;5.948s;6.439s;7.117s;7.718s;8.28s;8.946s;9.642s;10.273s;10.933s;11.697s;12.529s;13.231s;14.002s;15.083s;16.092s;16.581s;17.723s;18.65s,460945;23305532;39211197;54701781;70169051;86154661;102315336;118517033;134769814;151084747;167588798;184126614;200979019;217972845;235187341;252598421;270205380;288273131;307587285;326096362;344969687;364153173;383645074;403522196;423781278;444440965;465709467;487274771;509450964;532165545;555481037
-50,0.001s;0.01s;0.02s;0.032s;0.04s;0.051s;0.061s;0.071s;0.084s;0.091s;0.102s;0.111s;0.131s;0.132s;0.143s;0.153s;0.164s;0.169s;0.187s;0.195s;0.202s;0.219s;0.226s;0.242s;0.242s;0.263s;0.273s;0.276s;0.285s;0.296s;0.31s,0.023s;0.163s;0.261s;0.352s;0.452s;0.546s;0.641s;0.735s;0.84s;1.016s;1.107s;1.218s;1.396s;1.539s;1.661s;1.824s;2.015s;2.152s;2.308s;2.482s;2.846s;2.822s;3.035s;3.412s;3.387s;3.755s;3.992s;4.19s;4.491s;4.604s;4.876s,346928;7276879;11474371;15667263;19865478;24068151;28521313;33072600;37624254;42175707;46729130;51282396;55835799;60389085;64942466;69495774;74049133;78602463;83084731;87522064;91955033;96387909;100938733;105384747;109829286;114275152;118722033;123238705;127686019;132201860;136736351
-51,0s;0.002s;0.004s;0.005s;0.007s;0.264s;0.36s;0.473s;0.587s;0.726s;4.726s,0.017s;0.058s;0.078s;0.099s;0.121s;0.144s;0.173s;0.196s;0.252s;0.254s;0.284s,254662;1627737;2422183;3221231;4032525;4849910;5670034;6496292;7324407;8158669;9002423
-52,0.001s;0.135s;0.273s;0.453s;2.266s,0.016s;0.072s;0.107s;0.138s;0.17s,257214;2235176;3459594;4706406;5963823
