index,t_solve_list,t_ground_list,ground_file_bytes_list
144,0.011s;0.552s;1.197s;-1,4.437s;18.143s;25.489s;-1,14164053;381235565;589196306;-1
145,0.011s;0.586s;-1,5.3s;19.581s;-1,13841145;380651749;-1
147,0.01s;0.823s;1.5s;-1,4.205s;17.783s;24.562s;-1,13202529;421783394;673874900;-1
148,0.01s;0.386s;0.609s;0.846s;-1,4.083s;14.813s;22.117s;26.22s;-1,12995109;322362368;483794953;645227538;-1
149,0.011s;0.445s;0.819s;-1,4.468s;18.83s;20.208s;-1,13887533;355969941;541445505;-1
150,0.011s;0.452s;0.83s;-1,4.902s;16.586s;22.251s;-1,14498286;372762692;566938983;-1
151,0.01s;2.723s;-1,3.917s;21.97s;-1,13104215;683062376;-1
152,0.011s;0.353s;0.594s;0.849s;-1,4.537s;11.041s;17.03s;25.573s;-1,12994124;322360340;483792451;645224762;-1
153,0.01s;0.69s;1.345s;-1,4.142s;17.558s;22.918s;-1,13247328;383915244;603635050;-1
154,0.01s;0.498s;1.007s;-1,4.288s;16.458s;21.707s;-1,13914934;377595801;583466271;-1
155,0.011s;0.435s;0.781s;-1,3.828s;14.183s;20.648s;-1,13253765;342173858;520482594;-1
156,0.011s;0.543s;-1,4.666s;25.996s;-1,15014828;401492150;-1
157,0.01s;0.475s;-1,5.966s;25.898s;-1,14599288;373262299;-1
158,0.011s;0.613s;1.354s;-1,4.354s;17.974s;24.803s;-1,13266350;373489162;587845593;-1
159,0.012s;1.11s;-1,5.063s;22.846s;-1,13818885;450206973;-1
160,0.01s;0.554s;1.115s;-1,4.487s;16.145s;26.946s;-1,13886149;371524529;574337277;-1
161,0.011s;0.402s;0.668s;-1,4.459s;14.348s;22.718s;-1,14291326;353782611;530926130;-1
162,0.009s;0.541s;1.092s;-1,4.838s;17.48s;23.842s;-1,13714862;372709637;575947048;-1
163,0.01s;0.548s;1.094s;-1,4.138s;16.134s;23.675s;-1,13887464;371765913;574682018;-1
164,0.013s;0.58s;-1,5.017s;20.287s;-1,15091829;404855666;-1
165,0.012s;0.403s;0.682s;-1,5.789s;16.898s;21.037s;-1,14830383;368904387;553613273;-1
166,0.01s;0.738s;1.424s;-1,4.423s;17.124s;23.307s;-1,14395647;407959177;641864368;-1
167,0.011s;1.172s;-1,4.759s;19.753s;-1,14809432;480477130;-1
168,0.011s;0.71s;1.373s;-1,4.64s;17.147s;23.598s;-1,14052982;399437890;628531605;-1
169,0.01s;1.478s;-1,3.641s;18.111s;-1,12923528;502482566;-1
170,0.01s;0.365s;0.597s;-1,4.141s;13.78s;20.052s;-1,12842977;325459600;488457676;-1
171,0.011s;0.441s;0.804s;-1,4.371s;17.657s;23.708s;-1,14003662;361985991;550545517;-1
172,0.011s;0.38s;0.65s;-1,4.305s;15.505s;19.683s;-1,14002687;349517779;524538905;-1
173,0.01s;0.429s;0.761s;-1,3.916s;14.512s;21.356s;-1,13108647;336707657;512180681;-1
174,0.011s;0.712s;1.356s;-1,4.409s;16.563s;24.584s;-1,14045409;405212782;637146832;-1
175,0.01s;-1,3.878s;-1,13331227;-1
176,0.011s;0.408s;0.669s;-1,4.61s;14.787s;19.984s;-1,14442992;357826103;537010050;-1
178,0.011s;0.599s;-1,4.95s;20.276s;-1,14287184;420059929;-1
179,0.011s;0.529s;-1,4.187s;18.533s;-1,13144367;355573257;-1
